2026/03/16 01:23:40.275252 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
1000000000	         4.832 ns/op	       0 B/op	       0 allocs/op
2026/03/16 01:23:45.108547 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
2026/03/16 01:23:45.108658 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 1
2026/03/16 01:23:45.108667 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 2
2026/03/16 01:23:45.108672 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 3
2026/03/16 01:23:45.108676 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 4
2026/03/16 01:23:45.108680 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 5
2026/03/16 01:23:45.108690 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 6
2026/03/16 01:23:45.108703 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 7
2026/03/16 01:23:45.108706 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 01:23:45.108709 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
2026/03/16 01:23:45.108712 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 10
2026/03/16 01:23:45.108715 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 11
2026/03/16 01:23:45.108718 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 12
2026/03/16 01:23:45.108742 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 13
2026/03/16 01:23:45.108746 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 14
2026/03/16 01:23:45.108750 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 15
BenchmarkXmuxManagerGetXmuxClientWithConcurrencyFilter-3   	2026/03/16 01:23:45.109273 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
2026/03/16 01:23:45.109437 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 1
2026/03/16 01:23:45.109566 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 2
2026/03/16 01:23:45.109578 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 3
2026/03/16 01:23:45.109583 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 4
2026/03/16 01:23:45.109586 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 5
2026/03/16 01:23:45.109589 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 6
2026/03/16 01:23:45.109592 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 7
2026/03/16 01:23:45.109595 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 01:23:45.109598 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
2026/03/16 01:23:45.109604 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 10
2026/03/16 01:23:45.109607 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 11
2026/03/16 01:23:45.109609 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 12
2026/03/16 01:23:45.109612 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 13
2026/03/16 01:23:45.109615 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 14
2026/03/16 01:23:45.109618 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 15
2026/03/16 01:23:45.110059 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
2026/03/16 01:23:45.110114 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 1
2026/03/16 01:23:45.110120 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 2
2026/03/16 01:23:45.110125 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 3
2026/03/16 01:23:45.110129 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 4
2026/03/16 01:23:45.110332 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 5
2026/03/16 01:23:45.110353 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 6
2026/03/16 01:23:45.110358 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 7
2026/03/16 01:23:45.110363 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 01:23:45.110368 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
2026/03/16 01:23:45.110372 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 10
2026/03/16 01:23:45.110377 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 11
2026/03/16 01:23:45.110390 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 12
2026/03/16 01:23:45.110439 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 13
2026/03/16 01:23:45.110446 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 14
2026/03/16 01:23:45.110450 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 15
2026/03/16 01:23:45.110957 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
2026/03/16 01:23:45.111027 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 1
2026/03/16 01:23:45.111035 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 2
2026/03/16 01:23:45.111040 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 3
2026/03/16 01:23:45.111044 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 4
2026/03/16 01:23:45.111048 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 5
2026/03/16 01:23:45.111052 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 6
2026/03/16 01:23:45.111056 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 7
2026/03/16 01:23:45.111060 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 01:23:45.111064 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
2026/03/16 01:23:45.111068 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 10
2026/03/16 01:23:45.111072 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 11
2026/03/16 01:23:45.111076 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 12
2026/03/16 01:23:45.111080 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 13
2026/03/16 01:23:45.111084 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 14
2026/03/16 01:23:45.111088 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 15
2026/03/16 01:23:45.116374 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
